번호,시군구명,동명,리명,도로명,교차로명,위도,경도
384,사상구,주례동,,백양대로437번길 4,주감초교,35.15276590,129.0030757
385,사상구,주례동,,백양대로437번길 4,주감초교,35.15276849,129.0030421
386,사상구,주례동,,백양대로437번길 7,주감초교,35.15279637,129.0031426
387,사상구,주례동,,백양대로437번길 4,주감초교,35.15279896,129.0031090
388,사상구,주례동,,,,35.15233886,129.0067588
389,사상구,주례동,,,,35.15237908,129.0067739
390,사상구,주례동,,,,35.15236219,129.0060471
391,사상구,주례동,,,,35.15248308,129.0050679
392,사상구,주례동,,,,35.15245313,129.0050531
393,사상구,주례동,,,,35.15241997,129.0050379
394,사상구,주례동,,,,35.15254507,129.0050877
395,사상구,주례동,,,보훈병원,35.15256947,129.0051370
396,사상구,주례동,,,보훈병원,35.15259674,129.0051807
397,사상구,주례동,,,보훈병원,35.15244416,129.0057499
398,사상구,주례동,,주감로229번길 13-7,,35.15277117,129.0123569
399,사상구,주례동,,주감로229번길 13-7,,35.15277355,129.0123974
400,사상구,주례동,,주감로229번길 3,,35.15268521,129.0118198
401,사상구,주례동,,주감로229번길 3,,35.15271742,129.0118380
402,사상구,주례동,,주감로229번길 3,,35.15275133,129.0118558
403,사상구,주례동,,백양대로 392,,35.15271385,129.0085037
404,사상구,삼락동,,낙동대로 1524-1,,35.19453614,128.9839405
405,사상구,삼락동,,,,35.19442703,128.9831818
406,사상구,삼락동,,,,35.19438724,128.9831866
407,사상구,삼락동,,,,35.19434820,128.9831842
408,사상구,삼락동,,,,35.19431036,128.9831914
409,사상구,삼락동,,낙동대로1510번길 14,,35.19358005,128.9835288
410,사상구,삼락동,,낙동대로1510번길 14,,35.19352836,128.9835115
411,사상구,삼락동,,낙동대로1510번길 14,,35.19348056,128.9834979
412,사상구,삼락동,,,,35.19374887,128.9824923
413,사상구,삼락동,,,,35.19378766,128.9824894
414,사상구,삼락동,,,,35.19382692,128.9824824
415,사상구,삼락동,,,,35.19386571,128.9824760
416,사상구,삼락동,,낙동대로1510번길 14,선진사료,35.19313631,128.9831269
417,사상구,삼락동,,낙동대로1510번길 14,선진사료,35.19312055,128.9831063
418,사상구,삼락동,,낙동대로 1508,선진사료,35.19317744,128.9830358
419,사상구,삼락동,,낙동대로 1508,선진사료,35.19315919,128.9830612
420,사상구,삼락동,,낙동대로 1508,선진사료,35.19314109,128.9830873
421,사상구,삼락동,,모덕로27번길 50,,35.19263986,128.9811736
422,사상구,삼락동,,모덕로27번길 50,,35.19255879,128.9811473
423,사상구,삼락동,,모덕로27번길 50,,35.19248947,128.9811343
424,사상구,삼락동,,모덕로27번길 50,,35.19241718,128.9811199
425,사상구,삼락동,,낙동대로1488번길 7,,35.19223255,128.9820526
426,사상구,삼락동,,낙동대로1488번길 7,,35.19220679,128.9820261
