구분,노선명,시점,종점,폭(m),길이(m)
길,못골번영로72번나길,부산광역시 남구 대연동 1489-2 일원,부산광역시 남구 대연동 1492-50 일원,3,235
길,못골번영로82번길,부산광역시 남구 대연동1490-11 일원,부산광역시 남구 대연동1489-34 일원,5,121
길,무민사로19번길,부산광역시 남구 감만동 492 일원,부산광역시 남구 감만동 354-2 일원,3,223
길,무민사로33번길,부산광역시 남구 감만동 288-7 일원,부산광역시 남구 감만동 132-5 일원,4,427
길,문현금융로18번길,부산광역시 남구 문현동 745-1 일원,부산광역시 남구 문현동 740-5 일원,5,122
길,문현로23번길,부산광역시 남구 문현동 183-28 일원,부산광역시 남구 문현동 119-39 일원,9,289
길,문현로36번길,부산광역시 남구 문현동 142-43 일원,부산광역시 남구 문현동 154-8 일원,7,243
길,문현로66번길,부산광역시 남구 문현동 217-1 일원,부산광역시 남구 문현동 238-144 일원,8,896
길,석포로114번길,부산광역시 남구 대연동 968-1 일원,부산광역시 남구 대연동 965-16 일원,7,177
길,석포로117번길,부산광역시 남구 대연동 1222-7 일원,부산광역시 남구 대연동1070-6 일원,4,188
길,석포로126번길,부산광역시 남구 대연동 967-1 일원,부산광역시 남구 대연동 961-17 일원,7,174
길,석포로127번길,부산광역시 남구 대연동 1086-10 일원,부산광역시 남구 대연동1136-14 일원,7,535
길,석포로20번길,부산광역시 남구 감만동 13-24 일원,부산광역시 남구 감만동 22-15 일원,4,136
길,석포로26번가길,부산광역시 남구 감만동 8-20 일원,부산광역시 남구 감만동 29-126 일원,10,314
길,석포로26번길,부산광역시 남구 대연동 19-17 일원,부산광역시 남구 대연동 3-185 일원,9,346
길,석포로30번길,부산광역시 남구 감만동 20-61 일원,부산광역시 남구 감만동 20-51 일원,2,71
길,석포로32번가길,부산광역시 남구 감만동 3-3 일원,부산광역시 남구 감만동 3-156 일원,2,134
길,석포로32번길,부산광역시 남구 감만동 20-58 일원,부산광역시 남구 감만동 3-464 일원,2,294
길,석포로43번길,부산광역시 남구 감만동 43-43 일원,부산광역시 남구 감만동 44-191 일원,2,102
길,석포로56번길,부산광역시 남구 감만동 33-183 일원,부산광역시 남구 감만동 3-114 일원,5,342
길,석포로58번길,부산광역시 남구 감만동 33-171 일원,부산광역시 남구 감만동 29-36 일원,2,254
길,석포로64번길,부산광역시 남구 감만동 3-81,부산광역시 남구 대연동 1170-12,10,413
길,석포로73번가길,부산광역시 남구 대연동 1172-146 일원,부산광역시 남구 대연동 1172-120 일원,3,132
길,석포로73번길,부산광역시 남구 대연동 1171-10 일원,부산광역시 남구 대연동 943-5 일원,5,540
길,석포로73번나길,부산광역시 남구 대연동 1172-124 일원,부산광역시 남구 대연동 산191-2 일원,8,427
길,석포로83번길,부산광역시 남구 대연동 1161-9 일원,부산광역시 남구 대연동 1052 일원,5,496
길,석포로86번길,부산광역시 남구 대연동 990-1 일원,부산광역시 남구 대연동 990-17 일원,6,490
길,석포로91번길,부산광역시 남구 대연동 1013-1 일원,부산광역시 남구 대연동 1163-6 일원,9,524
길,섶자리길,부산광역시 남구 용호동 88-1 일원,부산광역시 남구 용호동 5-17 일원,5,746
길,솔밭로18번길,부산광역시 남구 우암동 209-8 일원,부산광역시 남구 우암동 127-33 일원,3,350
길,솔밭로34번길,부산광역시 남구 우암동 209-77 일원,부산광역시 남구 우암동 209-57 일원,4,138
길,수영로107번가길,부산광역시 남구 문현동 315-1 일원,부산광역시 남구 문현동 311-18 일원,3,183
길,수영로107번길,부산광역시 남구 문현동 315-1 일원,부산광역시 남구 문현동 311-7 일원,2,214
길,수영로123번길,부산광역시 남구 대연동 1600-19 일원,부산광역시 남구 대연동 1600-74 일원,2,290
길,수영로132번길,부산광역시 남구 대연동 1604-5 일원,부산광역시 남구 대연동 1238-16 일원,4,468
길,수영로13번길,부산광역시 남구 문현동 404-1 일원,부산광역시 남구 문현동 436-13 일원,10,666
길,수영로168번길,부산광역시 남구 대연동 1238-10 일원,부산광역시 남구 대연동 1204-99 일원,6,446
길,수영로172번길,부산광역시 남구 대연동 1237-3 일원,부산광역시 남구 대연동 1218-13 일원,6,234
길,수영로176번길,부산광역시 남구 대연동 1258-13 일원,부산광역시 남구 대연동 1220-7 일원,6,191
길,수영로196번길,부산광역시 남구 대연동 1752-12 일원,부산광역시 남구 대연동 917-7 일원,8,545
길,수영로208번길,부산광역시 남구 대연동 1751-6 일원,부산광역시 남구 대연동 1754-9 일원,8,284
길,수영로219번길,부산광역시 남구 대연동 1745-11 일원,부산광역시 남구 대연동 295-5 일원,8,341
길,수영로220번길,부산광역시 남구 대연동 1751-1 일원,부산광역시 남구 대연동 987-11 일원,8,229
길,수영로249번길,부산광역시 남구 대연동 1344-1 일원,부산광역시 남구 대연동 329-6 일원,4,80
길,수영로250번가길,부산광역시 남구 대연동 352-2 일원,부산광역시 남구 대연동 372-4 일원,2,132
길,수영로250번길,부산광역시 남구 대연동 330-16 일원,부산광역시 남구 대연동 358-2 일원,8,473
길,수영로266번길,부산광역시 남구 대연동 325-6 일원,부산광역시 남구 대연동 536-5 일원,8,686
길,수영로267번길,부산광역시 남구 대연동 322-4 일원,부산광역시 남구 대연동 317-10 일원,8,320
길,수영로293번길,부산광역시 남구 대연동 406-1 일원,부산광역시 남구 대연동 314-79 일원,7,309
길,수영로298번길,부산광역시 남구 대연동 72-7 일원,부산광역시 남구 대연동 61-16 일원,6,242
길,수영로322번길,부산광역시 남구 대연동 55-1 일원,부산광역시 남구 대연동 60-54 일원,6,291
길,수영로325번길,부산광역시 남구 대연동 73-1 일원,부산광역시 남구 대연동 201 일원,8,940
길,수영로334번길,부산광역시 남구 대연동 54-1 일원,부산광역시 남구 대연동 50-50 일원,8,316
길,수영로346번길,부산광역시 남구 대연동 38-1 일원,부산광역시 남구 대연동 43-2 일원,8,243
길,수영로358번길,부산광역시 남구 대연동 38-5 일원,부산광역시 남구 대연동 31-15 일원,8,199
길,수영로366번길,부산광역시 남구 대연동 29-2 일원,부산광역시 남구 대연동 18-2 일원,6,293
길,수영로39번가길,부산광역시 남구 문현동 189-20 일원,부산광역시 남구 문현동 223-196 일원,8,459
길,수영로39번길,부산광역시 남구 문현동 244-19 일원,부산광역시 남구 문현동 189-53 일원,10,421
길,수영로39번나길,부산광역시 남구 문현동189-6 일원,부산광역시 남구 문현동 142-43 일원,7,552
길,수영로49번가길,부산광역시 남구 문현동 239-76 일원,부산광역시 남구 문현동 233-48 일원,6,220
길,수영로49번길,부산광역시 남구 문현동 240-26 일원,부산광역시 남구 문현동 233-21 일원,6,216
길,수영로49번나길,부산광역시 남구 문현동 235-6 일원,부산광역시 남구 대연동 1781-62 일원,4,317
길,수영로51번길,부산광역시 남구 문현동 239-68 일원,부산광역시 남구 문현동 235-64 일원,3,279
길,수영로65번길,부산광역시 남구 문현동 254-23 일원,부산광역시 남구 문현동 산96-6 일원,2,351
길,수영로69번가길,부산광역시 남구 문현동 265-1 일원,부산광역시 남구 대연동 1781-66 일원,3,363
길,수영로69번길,부산광역시 남구 문현동 267-3 일원,부산광역시 남구 문현동 262-11 일원,9,351
길,수영로69번나길,부산광역시 남구 문현동 263-105 일원,부산광역시 남구 문현동 263-123 일원,2,128
길,수영로77번길,부산광역시 남구 문현동 274-24 일원,부산광역시 남구 문현동 263-60 일원,2,199
길,신선대산복로174번길,부산광역시 남구 용당동 산170-5 일원,부산광역시 남구 용호동 산241-7 일원,2,1478
